Trajectories
100
,,Patient 1:Unlabeled0,,,Patient 1:Unlabeled3,,,Patient 1:Unlabeled1,,,Patient 1:Unlabeled2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-168.328,207.379,65.4681,-168.942,167.628,65.5971,-129.075,208.354,65.7938,-128.697,167.255,65.8323
2,0,-168.337,207.368,65.4717,-168.946,167.659,65.5733,-129.076,208.32,65.7979,-128.682,167.257,65.8316
3,0,-168.34,207.331,65.4992,-168.941,167.686,65.5246,-129.091,208.3,65.8193,-128.673,167.271,65.8561
4,0,-168.329,207.363,65.4742,-168.967,167.621,65.5959,-129.094,208.326,65.8094,-128.668,167.231,65.8495
5,0,-168.349,207.361,65.4715,-168.93,167.652,65.5805,-129.088,208.336,65.8017,-128.699,167.244,65.8557
6,0,-168.362,207.348,65.4856,-168.937,167.675,65.5533,-129.085,208.336,65.8145,-128.667,167.24,65.8377
7,0,-168.361,207.386,65.4756,-168.941,167.696,65.54,-129.078,208.339,65.7887,-128.698,167.238,65.839
8,0,-168.354,207.36,65.4713,-168.784,167.745,65.5232,-129.075,208.345,65.7944,-128.683,167.263,65.8362
9,0,-168.349,207.39,65.4555,-168.948,167.661,65.5819,-129.093,208.293,65.8135,-128.678,167.259,65.8536
10,0,-168.331,207.387,65.4664,-168.961,167.645,65.5761,-129.08,208.331,65.786,-128.659,167.276,65.8207
11,0,-168.328,207.387,65.4553,-168.948,167.661,65.564,-129.081,208.323,65.7847,-128.691,167.265,65.8286
12,0,-168.339,207.374,65.4649,-168.949,167.67,65.5441,-129.092,208.306,65.7947,-128.678,167.278,65.8265
13,0,-168.326,207.381,65.481,-168.913,167.666,65.5543,-129.071,208.33,65.8011,-128.682,167.251,65.8467
14,0,-168.379,207.375,65.4728,-168.945,167.63,65.5666,-129.083,208.334,65.804,-128.665,167.246,65.8473
15,0,-168.363,207.371,65.4509,-168.93,167.643,65.5576,-129.08,208.357,65.791,-128.673,167.282,65.8332
16,0,-168.362,207.361,65.4839,-168.781,167.733,65.5203,-129.081,208.338,65.7821,-128.685,167.252,65.8468
17,0,-168.35,207.345,65.4698,-168.939,167.68,65.5409,-129.089,208.33,65.8135,-128.693,167.244,65.8385
18,0,-168.351,207.367,65.4667,-168.97,167.65,65.5691,-129.061,208.332,65.8023,-128.671,167.269,65.8333
19,0,-168.342,207.367,65.476,-168.98,167.636,65.5667,-129.084,208.34,65.785,-128.699,167.228,65.8406
20,0,-168.329,207.374,65.4874,-168.966,167.668,65.5578,-129.065,208.367,65.7901,-128.67,167.283,65.8335
21,0,-168.348,207.363,65.4425,-168.937,167.637,65.5535,-129.092,208.339,65.7959,-128.675,167.254,65.8449
22,0,-168.348,207.334,65.487,-168.927,167.66,65.5869,-129.075,208.328,65.8165,-128.689,167.243,65.8562
23,0,-168.347,207.385,65.4522,-168.925,167.688,65.5723,-129.071,208.311,65.7862,-128.678,167.256,65.839
24,0,-168.362,207.349,65.4865,-168.937,167.67,65.5392,-129.077,208.343,65.792,-128.703,167.251,65.8306
25,0,-168.36,207.338,65.4814,-168.803,167.728,65.5336,-129.091,208.297,65.8109,-128.657,167.269,65.8368
26,0,-168.353,207.374,65.4763,-168.927,167.682,65.5682,-129.063,208.33,65.7903,-128.662,167.254,65.8252
27,0,-168.344,207.362,65.4822,-168.794,167.752,65.4847,-129.075,208.342,65.782,-128.7,167.244,65.8549
28,0,-168.34,207.386,65.4691,-168.927,167.686,65.5513,-129.081,208.349,65.7865,-128.697,167.273,65.8181
29,0,-168.339,207.376,65.4558,-168.951,167.63,65.6117,-129.094,208.366,65.7993,-128.694,167.24,65.8689
30,0,-168.33,207.346,65.4669,-168.954,167.617,65.5722,-129.077,208.319,65.8123,-128.681,167.251,65.8348
31,0,-168.344,207.381,65.45,-168.932,167.653,65.5708,-129.088,208.31,65.7884,-128.677,167.264,65.8347
32,0,-168.345,207.391,65.463,-168.939,167.67,65.5539,-129.085,208.332,65.7959,-128.679,167.259,65.8375
33,0,-168.358,207.352,65.4809,-168.958,167.613,65.6054,-129.085,208.322,65.7967,-128.681,167.255,65.8273
34,0,-168.343,207.377,65.4646,-168.925,167.669,65.5616,-129.065,208.35,65.8012,-128.67,167.236,65.8261
35,0,-168.33,207.366,65.4475,-168.96,167.626,65.587,-129.066,208.342,65.7892,-128.671,167.269,65.8222
36,0,-168.346,207.396,65.4755,-168.951,167.652,65.583,-129.046,208.326,65.7949,-128.681,167.262,65.8433
37,0,-168.353,207.388,65.475,-168.944,167.661,65.5754,-129.084,208.328,65.791,-128.684,167.274,65.8237
38,0,-168.356,207.4,65.4548,-168.961,167.665,65.5547,-129.085,208.336,65.8036,-128.691,167.251,65.8356
39,0,-168.331,207.407,65.4407,-168.947,167.684,65.5461,-129.063,208.331,65.7993,-128.685,167.241,65.8518
40,0,-168.349,207.37,65.4637,-168.97,167.655,65.5732,-129.075,208.305,65.7863,-128.68,167.255,65.8282
41,0,-168.371,207.364,65.4741,-168.962,167.673,65.5605,-129.097,208.337,65.7954,-128.652,167.274,65.8329
42,0,-168.349,207.35,65.4768,-168.945,167.645,65.5523,-129.079,208.305,65.8104,-128.651,167.27,65.8282
43,0,-168.348,207.345,65.4875,-168.944,167.644,65.5706,-129.089,208.342,65.7926,-128.672,167.227,65.8437
44,0,-168.345,207.362,65.4804,-168.786,167.75,65.4968,-129.083,208.321,65.8006,-128.663,167.258,65.8461
45,0,-168.353,207.381,65.4462,-168.921,167.67,65.5564,-129.095,208.351,65.7879,-128.699,167.262,65.8365
46,0,-168.344,207.383,65.4635,-168.941,167.65,65.5765,-129.091,208.314,65.8046,-128.689,167.285,65.8127
47,0,-168.365,207.362,65.4619,-168.801,167.743,65.5029,-129.07,208.353,65.7937,-128.679,167.262,65.8412
48,0,-168.325,207.388,65.4421,-168.953,167.652,65.5719,-129.07,208.342,65.7946,-128.689,167.271,65.8323
49,0,-168.339,207.389,65.4559,-168.797,167.734,65.5297,-129.076,208.327,65.7785,-128.692,167.236,65.843
50,0,-168.353,207.373,65.4796,-168.94,167.645,65.5676,-129.061,208.344,65.761,-128.687,167.27,65.8292
51,0,-168.329,207.391,65.4825,-168.951,167.622,65.5686,-129.088,208.301,65.8148,-128.674,167.271,65.8251
52,0,-168.36,207.359,65.4863,-168.943,167.638,65.5669,-129.087,208.342,65.7784,-128.685,167.285,65.8411
53,0,-168.35,207.353,65.4872,-168.949,167.654,65.569,-129.096,208.308,65.803,-128.686,167.253,65.8135
54,0,-168.327,207.386,65.471,-168.927,167.67,65.5573,-129.076,208.334,65.7823,-128.689,167.245,65.8344
55,0,-168.347,207.357,65.4801,-168.936,167.683,65.5451,-129.084,208.313,65.8229,-128.677,167.268,65.8228
56,0,-168.333,207.388,65.4578,-168.958,167.627,65.551,-129.081,208.31,65.8085,-128.68,167.268,65.8408
57,0,-168.365,207.394,65.4555,-168.964,167.615,65.5953,-129.094,208.318,65.8123,-128.694,167.246,65.8246
58,0,-168.362,207.382,65.4732,-168.933,167.644,65.564,-129.078,208.293,65.8133,-128.68,167.254,65.8181
59,0,-168.325,207.358,65.4589,-168.939,167.666,65.5537,-129.067,208.322,65.8119,-128.686,167.268,65.836
60,0,-168.356,207.374,65.4749,-168.933,167.64,65.5669,-129.088,208.319,65.8012,-128.684,167.26,65.8293
61,0,-168.329,207.376,65.4629,-168.939,167.669,65.5727,-129.093,208.331,65.8119,-128.701,167.259,65.8294
62,0,-168.336,207.367,65.4622,-168.962,167.635,65.5554,-129.08,208.312,65.8012,-128.692,167.258,65.8196
63,0,-168.314,207.405,65.4533,-168.943,167.654,65.5718,-129.067,208.312,65.8094,-128.68,167.266,65.8183
64,0,-168.372,207.35,65.4646,-168.946,167.689,65.5432,-129.079,208.324,65.7998,-128.685,167.267,65.8323
65,0,-168.341,207.362,65.4736,-168.941,167.644,65.5868,-129.077,208.337,65.7968,-128.661,167.256,65.8363
66,0,-168.351,207.393,65.4552,-168.937,167.638,65.5667,-129.082,208.363,65.7827,-128.659,167.278,65.8246
67,0,-168.352,207.376,65.4801,-168.962,167.663,65.5592,-129.08,208.324,65.7937,-128.679,167.271,65.8375
68,0,-168.343,207.382,65.4664,-168.876,167.692,65.5307,-129.08,208.31,65.8016,-128.675,167.284,65.8292
