Trajectories
100
,,Patient 1:Unlabeled0,,,Patient 1:Unlabeled3,,,Patient 1:Unlabeled1,,,Patient 1:Unlabeled2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,82.1687,24.303,-235.769,82.327,-14.7196,-235.117,121.398,26.5211,-235.334,122.506,-14.6334,-235.735
2,0,82.187,24.267,-235.732,82.3078,-14.7227,-235.16,121.43,26.4867,-235.304,122.536,-14.6485,-235.723
3,0,82.2104,24.2725,-235.735,82.2991,-14.7045,-235.155,121.445,26.4926,-235.335,122.508,-14.6291,-235.716
4,0,82.1811,24.2359,-235.729,82.3105,-14.6993,-235.144,121.399,26.548,-235.357,122.503,-14.6089,-235.77
5,0,82.2001,24.267,-235.746,82.3201,-14.7464,-235.132,121.391,26.553,-235.356,122.529,-14.6135,-235.73
6,0,82.1816,24.2555,-235.747,82.3291,-14.7611,-235.106,121.364,26.594,-235.401,122.499,-14.6405,-235.725
7,0,82.1937,24.2507,-235.761,82.2845,-14.7166,-235.126,121.356,26.6295,-235.422,122.477,-14.6143,-235.738
8,0,82.2088,24.231,-235.74,82.2729,-14.6593,-235.167,121.371,26.5728,-235.425,122.488,-14.6284,-235.757
9,0,82.221,24.2589,-235.73,82.333,-14.6939,-235.125,121.422,26.5333,-235.343,122.496,-14.6177,-235.738
10,0,82.1652,24.2768,-235.77,82.3117,-14.7403,-235.13,121.406,26.5049,-235.34,122.499,-14.6166,-235.716
11,0,82.2069,24.2527,-235.707,82.3462,-14.7474,-235.106,121.427,26.5053,-235.322,122.485,-14.6085,-235.739
12,0,82.2305,24.2002,-235.717,82.3178,-14.7376,-235.125,121.401,26.5706,-235.362,122.476,-14.6305,-235.744
13,0,82.1909,24.2982,-235.764,82.3323,-14.7126,-235.131,121.367,26.5971,-235.394,122.516,-14.6422,-235.713
14,0,82.1992,24.2765,-235.752,82.3119,-14.6747,-235.153,121.397,26.5776,-235.382,122.514,-14.6286,-235.734
15,0,82.2293,24.2513,-235.703,82.3581,-14.7571,-235.133,121.377,26.5802,-235.391,122.506,-14.6151,-235.747
16,0,82.2173,24.2404,-235.711,82.3482,-14.7312,-235.105,121.398,26.5402,-235.348,122.506,-14.6283,-235.744
17,0,82.2304,24.2144,-235.69,82.3264,-14.7234,-235.122,121.376,26.5777,-235.402,122.497,-14.5908,-235.754
18,0,82.2275,24.2403,-235.718,82.2963,-14.7108,-235.159,121.412,26.5642,-235.376,122.501,-14.5892,-235.754
19,0,82.2027,24.2689,-235.726,82.2947,-14.6769,-235.123,121.369,26.602,-235.42,122.485,-14.6174,-235.745
20,0,82.2394,24.2275,-235.712,82.2601,-14.6837,-235.167,121.372,26.5896,-235.42,122.522,-14.6167,-235.747
21,0,82.2199,24.2238,-235.692,82.3155,-14.7438,-235.107,121.394,26.5783,-235.402,122.474,-14.6155,-235.778
22,0,82.2079,24.2703,-235.733,82.3447,-14.7175,-235.126,121.379,26.5415,-235.367,122.516,-14.6057,-235.767
23,0,82.1873,24.2514,-235.733,82.4502,-14.8543,-235.036,121.413,26.537,-235.35,122.484,-14.6203,-235.743
24,0,82.1775,24.2894,-235.753,82.4087,-14.8286,-235.02,121.419,26.5345,-235.352,122.509,-14.6491,-235.734
25,0,82.2048,24.2485,-235.722,82.3094,-14.7044,-235.155,121.389,26.5628,-235.382,122.492,-14.6902,-235.722
26,0,82.2236,24.232,-235.71,82.2792,-14.7003,-235.135,121.403,26.5731,-235.357,122.491,-14.6253,-235.767
27,0,82.2123,24.2301,-235.707,82.2791,-14.6755,-235.154,121.367,26.5936,-235.394,122.497,-14.6169,-235.749
28,0,82.1988,24.243,-235.743,82.2705,-14.6886,-235.175,121.372,26.5718,-235.384,122.505,-14.6469,-235.736
29,0,82.1836,24.2966,-235.782,82.27,-14.6881,-235.152,121.406,26.5593,-235.382,122.516,-14.6406,-235.723
30,0,82.2141,24.2579,-235.738,82.324,-14.7329,-235.109,121.376,26.5494,-235.367,122.529,-14.6202,-235.732
31,0,82.2067,24.2709,-235.728,82.3486,-14.78,-235.038,121.405,26.5116,-235.357,122.506,-14.6288,-235.723
32,0,82.1945,24.3024,-235.75,82.3622,-14.7497,-235.065,121.437,26.5195,-235.351,122.489,-14.5971,-235.766
33,0,82.2036,24.2316,-235.727,82.3365,-14.752,-235.108,121.369,26.5673,-235.398,122.481,-14.5792,-235.776
34,0,82.2052,24.2653,-235.735,82.3048,-14.7392,-235.135,121.336,26.5976,-235.402,122.509,-14.6283,-235.724
35,0,82.204,24.2623,-235.74,82.291,-14.6493,-235.16,121.385,26.5885,-235.406,122.478,-14.5677,-235.765
36,0,82.2152,24.2145,-235.719,82.3348,-14.7518,-235.142,121.385,26.5881,-235.4,122.487,-14.5522,-235.787
37,0,82.1949,24.2472,-235.717,82.4401,-14.859,-235.049,121.393,26.5358,-235.34,122.471,-14.6222,-235.766
38,0,82.206,24.2306,-235.705,82.501,-14.9409,-234.963,121.385,26.5524,-235.344,122.523,-14.6669,-235.729
39,0,82.1959,24.2816,-235.747,82.336,-14.8123,-235.023,121.389,26.5668,-235.399,122.509,-14.6399,-235.734
40,0,82.2158,24.292,-235.743,82.2767,-14.7159,-235.134,121.415,26.5264,-235.356,122.481,-14.6369,-235.748
41,0,82.2088,24.2442,-235.729,82.2698,-14.6729,-235.167,121.375,26.5638,-235.369,122.506,-14.6453,-235.738
42,0,82.1854,24.2545,-235.738,82.3515,-14.783,-235.05,121.428,26.543,-235.367,122.52,-14.6806,-235.707
43,0,82.2059,24.2198,-235.728,82.3334,-14.7377,-235.107,121.381,26.5759,-235.362,122.508,-14.6394,-235.734
44,0,82.155,24.28,-235.752,82.283,-14.713,-235.186,121.37,26.6054,-235.413,122.474,-14.6179,-235.767
45,0,82.1933,24.2919,-235.777,82.2538,-14.6403,-235.207,121.404,26.5952,-235.386,122.538,-14.6577,-235.719
46,0,82.1817,24.263,-235.771,82.319,-14.6834,-235.145,121.39,26.5295,-235.347,122.509,-14.6541,-235.709
47,0,82.1947,24.3,-235.76,82.3402,-14.7432,-235.127,121.419,26.5295,-235.338,122.498,-14.6084,-235.736
48,0,82.2021,24.2567,-235.713,82.3363,-14.738,-235.118,121.432,26.4974,-235.313,122.515,-14.6486,-235.719
49,0,82.1805,24.317,-235.762,82.3257,-14.7349,-235.097,121.407,26.5904,-235.403,122.517,-14.6638,-235.737
50,0,82.1968,24.3019,-235.739,82.2923,-14.6738,-235.186,121.371,26.6294,-235.411,122.501,-14.6271,-235.745
51,0,82.1838,24.2656,-235.746,82.2717,-14.66,-235.152,121.363,26.6016,-235.423,122.484,-14.588,-235.773
52,0,82.1925,24.281,-235.769,82.3336,-14.7364,-235.095,121.395,26.5624,-235.407,122.493,-14.5892,-235.762
53,0,82.1933,24.2936,-235.758,82.294,-14.7492,-235.127,121.376,26.5481,-235.366,122.522,-14.6941,-235.689
54,0,82.1958,24.2627,-235.724,82.2785,-14.6755,-235.176,121.397,26.5355,-235.373,122.515,-14.6416,-235.739
55,0,82.1903,24.2703,-235.746,82.3183,-14.7004,-235.159,121.416,26.5244,-235.342,122.503,-14.5944,-235.767
56,0,82.2466,24.2016,-235.7,82.3116,-14.7109,-235.146,121.408,26.545,-235.35,122.454,-14.5978,-235.76
57,0,82.2115,24.2078,-235.682,82.1004,-14.5216,-235.263,121.432,26.5359,-235.342,122.517,-14.6077,-235.764
58,0,82.212,24.2579,-235.743,82.2495,-14.6013,-235.227,121.403,26.5482,-235.355,122.516,-14.6454,-235.736
59,0,82.1894,24.2953,-235.77,82.3111,-14.6965,-235.117,121.409,26.5444,-235.372,122.497,-14.6595,-235.72
60,0,82.1673,24.2692,-235.764,82.3092,-14.7592,-235.112,121.427,26.5448,-235.358,122.513,-14.6383,-235.714
61,0,82.1817,24.2974,-235.772,82.1039,-14.5296,-235.282,121.416,26.5349,-235.373,122.522,-14.632,-235.726
62,0,82.2648,24.2004,-235.701,82.2187,-14.6024,-235.225,121.346,26.6172,-235.41,122.513,-14.6342,-235.727
63,0,82.1733,24.3131,-235.749,82.3009,-14.6994,-235.127,121.413,26.5527,-235.353,122.485,-14.6265,-235.753
64,0,82.2058,24.2997,-235.784,82.3366,-14.7602,-235.101,121.402,26.4915,-235.339,122.492,-14.6306,-235.756
65,0,82.1991,24.2535,-235.728,82.3382,-14.7255,-235.094,121.413,26.5665,-235.378,122.462,-14.5993,-235.771
66,0,82.1913,24.263,-235.761,82.3101,-14.6923,-235.135,121.412,26.5428,-235.382,122.51,-14.6281,-235.729
67,0,82.2039,24.2515,-235.721,82.2912,-14.6774,-235.147,121.369,26.6074,-235.389,122.536,-14.6813,-235.687
68,0,82.1765,24.3219,-235.771,82.2927,-14.7308,-235.113,121.376,26.5592,-235.378,122.509,-14.661,-235.724
69,0,82.1661,24.2827,-235.754,82.4534,-14.9006,-234.991,121.391,26.5776,-235.396,122.522,-14.6304,-235.744
70,0,82.2004,24.2566,-235.751,82.3867,-14.8201,-235.032,121.426,26.5145,-235.326,122.485,-14.6243,-235.775
71,0,82.2124,24.2654,-235.74,82.4308,-14.8739,-235.011,121.45,26.494,-235.303,122.491,-14.597,-235.773
72,0,82.1952,24.2385,-235.722,82.3216,-14.746,-235.126,121.401,26.5783,-235.372,122.511,-14.632,-235.721
